date,close,high,low,open,volume,market,return_1d,return_5d,return_10d,MA_5,MA_20,MA_gap,volatility_10,volume_change,RSI_14,MACD
2020-01-30,3283.659912109375,3285.909912109375,3242.800048828125,3256.449951171875,3790350000.0,US,0.003134358792605374,-0.012593481498100245,-0.0017116541521919881,3274.479931640625,3280.8369995117187,-6.357067871093477,0.0077027504613869785,0.05280188875772507,51.99304876724231,5.976484204069493
2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000.0,US,-0.01770582037552626,-0.02122609272538767,-0.027523444951564335,3260.48994140625,3279.220495605469,-18.73055419921866,0.008831611768230283,0.19506114211088676,42.72032155810035,0.74562458727587
2020-02-03,3248.919921875,3268.43994140625,3235.659912109375,3235.659912109375,3760460000.0,US,0.007254613892351713,0.0016309009515946826,-0.02423705782408192,3261.54794921875,3279.9239868164063,-18.37603759765625,0.009172475923667437,-0.16982140097578202,42.849866973440996,-1.4944655191125094
2020-02-04,3297.590087890625,3306.919921875,3280.610107421875,3280.610107421875,3996900000.0,US,0.014980414164082134,0.006516646436124596,-0.0069862746210912485,3265.81796875,3282.4894897460936,-16.671520996093477,0.010690466110703392,0.06287528653409424,52.27132213397602,0.6500294417342047
2020-02-05,3334.68994140625,3337.580078125,3313.75,3324.909912109375,4121480000.0,US,0.01125059589785371,0.018723663741364582,0.003895519351621912,3278.0759765625,3287.364990234375,-9.289013671875182,0.011339630947795215,0.03116915609597437,56.507261084088604,5.2823140425985
2020-02-06,3345.780029296875,3347.9599609375,3334.389892578125,3344.919921875,3887250000.0,US,0.003325672876785646,0.018917950960273044,0.006086226596772715,3290.5,3292.0014892578124,-1.501489257812409,0.011375477433701986,-0.056831526539010246,54.35756081474611,9.736078914407244
2020-02-07,3327.7099609375,3341.419921875,3322.1201171875,3335.5400390625,3733920000.0,US,-0.005400853672730133,0.03168169497862894,0.009783123657927328,3310.93798828125,3294.651989746094,16.285998535156068,0.011084776354167759,-0.03944433725641516,49.71715670183892,11.673056435852232
2020-02-10,3352.090087890625,3352.260009765625,3317.77001953125,3318.280029296875,3462730000.0,US,0.007326397804890528,0.031755219733481166,0.03343791030315724,3331.572021484375,3298.9889892578126,32.58303222656241,0.00949522505478368,-0.07262876547971031,54.4306675946975,15.002458565030338
2020-02-11,3357.75,3375.6298828125,3352.719970703125,3365.8701171875,3762940000.0,US,0.0016884725532351208,0.018243599266717148,0.024879132788985237,3343.60400390625,3302.4699951171874,41.13400878906259,0.009201517686110038,0.08669749013061945,55.029051009452665,17.89149927821063
2020-02-12,3379.449951171875,3381.469970703125,3369.719970703125,3370.5,3930910000.0,US,0.006462646466197652,0.01342254019177247,0.03239752306224286,3352.556005859375,3307.2849975585937,45.27100830078143,0.00919556038304274,0.044637969247450116,57.17210785233997,21.682151220729793
2020-02-13,3373.93994140625,3385.090087890625,3360.52001953125,3365.89990234375,3500890000.0,US,-0.0016304457368023773,0.008416546175419981,0.02749372094349445,3358.18798828125,3311.5174926757813,46.67049560546866,0.009323716166929336,-0.10939451679127732,61.16945822325919,23.965400240309464
2020-02-14,3380.159912109375,3380.68994140625,3366.14990234375,3378.080078125,3419700000.0,US,0.0018435333204338544,0.01576157531382294,0.04794262371392688,3368.677978515625,3314.6849853515623,53.99299316406268,0.006021686767329674,-0.02319124565467634,72.33436346542933,25.977340579655902
2020-02-18,3370.2900390625,3375.010009765625,3355.610107421875,3369.0400390625,3750400000.0,US,-0.002919942636890105,0.005429433784498228,0.03735706638083447,3372.31796875,3316.7184814453126,55.5994873046875,0.0063921596084875135,0.096704389273913,66.62190768200526,26.47026874401263
2020-02-19,3386.14990234375,3393.52001953125,3378.830078125,3380.389892578125,3614200000.0,US,0.004705785881164548,0.008458015737845326,0.02685591965427525,3377.99794921875,3319.986474609375,58.011474609375,0.005063961422309864,-0.03631612627986347,69.05013331925342,27.819984818363082
2020-02-20,3373.22998046875,3389.14990234375,3341.02001953125,3380.449951171875,4019180000.0,US,-0.00381551976362815,-0.0018405275393909015,0.01155730809751021,3376.753955078125,3322.5604736328123,54.1934814453125,0.004426998680403643,0.11205245974212819,64.99885938367471,27.52976877469655
2020-02-21,3337.75,3360.760009765625,3328.449951171875,3360.5,3908780000.0,US,-0.01051810302712286,-0.010726314645413071,-0.002400046992498295,3369.515966796875,3323.1709716796877,46.34499511718741,0.005665375649119241,-0.027468289551600078,70.33669908547807,24.158350141556184
2020-02-24,3225.889892578125,3259.81005859375,3214.64990234375,3257.610107421875,4851160000.0,US,-0.03351362667122315,-0.045639858332908956,-0.03059763908351243,3338.661962890625,3319.6919677734377,18.96999511718741,0.011977449147038967,0.24109312880233724,46.83991930539931,12.318303040438877
2020-02-25,3128.2099609375,3246.989990234375,3118.77001953125,3238.93994140625,5596760000.0,US,-0.030279995565056117,-0.0718276692270492,-0.0667882190165141,3290.245947265625,3313.9209716796877,-23.67502441406259,0.014081052174466169,0.1536951986741315,29.51375580602202,-4.890597959295064
2020-02-26,3116.389892578125,3182.510009765625,3108.989990234375,3139.89990234375,5484650000.0,US,-0.0037785406053220116,-0.07966570221209301,-0.07188150023732409,3236.2939453125,3305.928466796875,-69.634521484375,0.013818648572008147,-0.020031232355863016,21.877238968157656,-19.260533278817093
2020-02-27,2978.760009765625,3097.070068359375,2977.389892578125,3062.5400390625,7064710000.0,US,-0.04416324258407911,-0.11694132122242928,-0.11856661503961752,3157.399951171875,3291.1964721679688,-133.79652099609393,0.017085692190467162,0.28808766284083753,14.343425143474107,-41.27855834577758
2020-02-28,2954.219970703125,2959.719970703125,2855.840087890625,2916.89990234375,8569570000.0,US,-0.008238340444361891,-0.11490675733559286,-0.12440054594694017,3080.6939453125,3274.724475097656,-194.03052978515598,0.01674702276491238,0.21301086668808766,14.16534749527652,-60.01634681808855
2020-03-02,3090.22998046875,3090.9599609375,2945.18994140625,2974.280029296875,6381330000.0,US,0.046039229006110016,-0.042053484969059474,-0.08577402820557545,3053.561962890625,3267.9599731445314,-214.39801025390625,0.024944676426833037,-0.2553500350659368,29.30808636371178,-63.163202000924684
2020-03-03,3003.3701171875,3136.719970703125,2976.6298828125,3096.4599609375,6376510000.0,US,-0.028107896121075893,-0.03990775725059914,-0.10886894529025892,3028.593994140625,3255.682482910156,-227.08848876953107,0.025565936508032457,-0.0007553284346679678,25.18207290575978,-71.83787020363525
2020-03-04,3130.1201171875,3130.969970703125,3034.3798828125,3045.75,5073020000.0,US,0.04220259077449118,0.004405810916687347,-0.07561088331589716,3031.3400390625,3247.308984375,-215.96894531249973,0.030438138923124847,-0.20442059998337647,34.778575374039065,-67.70448637152913
2020-03-05,3023.93994140625,3083.0400390625,2999.830078125,3075.699951171875,5579290000.0,US,-0.033922077046888544,0.015167362087749936,-0.1035476504966798,3040.376025390625,3231.771484375,-191.39545898437518,0.03151227262993283,0.09979657087888483,30.971635844680975,-72.16473258964834
2020-03-06,2972.3701171875,2985.929931640625,2901.5400390625,2954.199951171875,6555240000.0,US,-0.01705385200037013,0.006143803326891462,-0.10946891852670215,3044.0060546875,3213.1009887695313,-169.09493408203116,0.031582048572732446,0.17492369100727867,28.871641872604997,-78.95066950631235
2020-03-09,2746.56005859375,2863.889892578125,2734.429931640625,2863.889892578125,8441290000.0,US,-0.07596969747745097,-0.1112117622465334,-0.14858840504357562,2975.2720703125,3184.043493652344,-208.77142333984375,0.03727354113608644,0.2877163917720784,23.592465308815832,-101.38090202677495
2020-03-10,2882.22998046875,2882.590087890625,2734.0,2813.47998046875,7642040000.0,US,0.04939630628156144,-0.0403347346454227,-0.07863282309702502,2951.04404296875,3160.55048828125,-209.5064453125001,0.041945154463270976,-0.09468339554736305,30.630083292135836,-106.97643627896878
2020-03-11,2741.3798828125,2825.60009765625,2707.219970703125,2825.60009765625,7431200000.0,US,-0.048868445131273974,-0.12419339188947609,-0.12033475357455581,2873.29599609375,3129.731982421875,-256.4359863281247,0.04389560654037579,-0.027589491811087052,27.887390900472255,-121.37720240037197
2020-03-12,2480.639892578125,2660.949951171875,2478.860107421875,2630.860107421875,8850810000.0,US,-0.09511268097833658,-0.17966628284802155,-0.16722398432718755,2764.635986328125,3084.7914794921876,-320.1554931640626,0.050517843794438425,0.1910337495962966,24.08930867537137,-152.07640923896724
2020-03-13,2711.02001953125,2711.330078125,2492.3701171875,2569.989990234375,8299070000.0,US,0.09287124972971839,-0.08792649883842296,-0.08232289862761699,2712.365966796875,3051.6454833984376,-339.2795166015626,0.061403672549896926,-0.062337797331543654,35.476085171606684,-156.01752801096245
2020-03-16,2386.1298828125,2562.97998046875,2380.93994140625,2508.590087890625,7805450000.0,US,-0.11984055240393443,-0.13122967205959868,-0.22784715121734944,2640.279931640625,3001.943981933594,-361.664050292969,0.06761890331394278,-0.05947895366589273,31.445216641361753,-183.24448350492185
2020-03-17,2529.18994140625,2553.929931640625,2367.0400390625,2425.659912109375,8370250000.0,US,0.05995484974402432,-0.12248850419808743,-0.15788269752956563,2569.671923828125,2959.8889770507812,-390.21705322265643,0.07250160211067143,0.07235969739092551,36.222045199706564,-191.07568916359514
2020-03-18,2398.10009765625,2453.570068359375,2280.52001953125,2436.5,8799300000.0,US,-0.051830762729157875,-0.1252215307001029,-0.2338632359543411,2501.015966796875,2910.4864868164063,-409.47052001953125,0.07037776741092533,0.051258922971237464,36.333556014146,-205.49105789430905
2020-03-19,2409.389892578125,2466.969970703125,2319.780029296875,2393.47998046875,7956100000.0,US,0.0047078080405855705,-0.028722427714387044,-0.2032282587405937,2486.765966796875,2862.294482421875,-375.5285156249997,0.07083363725046345,-0.09582580432534404,37.09636683022503,-213.54276134603742
2020-03-20,2304.919921875,2453.010009765625,2295.56005859375,2431.93994140625,9053950000.0,US,-0.04335951230846191,-0.14979605267779128,-0.2245515090644402,2405.545947265625,2810.652978515625,-405.1070312500001,0.07119241609348456,0.1379884616834881,31.118812897081753,-225.75132711107608
2020-03-23,2237.39990234375,2300.72998046875,2191.860107421875,2290.7099609375,7411380000.0,US,-0.02929386782180443,-0.06233104976391479,-0.18538103860386435,2375.799951171875,2761.228479003906,-385.42852783203125,0.06880973077196456,-0.181420264083632,31.41092653918193,-238.12999042679257
2020-03-24,2447.330078125,2449.7099609375,2344.43994140625,2344.43994140625,7563150000.0,US,0.09382773976227554,-0.03236604018586886,-0.15089007653477404,2359.427978515625,2727.1844848632813,-367.75650634765634,0.07482646704604046,0.02047796766594079,34.072640443064884,-228.36807455283179
2020-03-25,2475.56005859375,2571.419921875,2407.530029296875,2457.77001953125,8300010000.0,US,0.011535011448221999,0.03230055368130991,-0.09696570179322761,2374.919970703125,2695.1429931640623,-320.2230224609375,0.07410612182913076,0.09742765911029139,36.7252509607238,-215.86540043124887
2020-03-26,2630.070068359375,2637.010009765625,2500.719970703125,2501.2900390625,7766990000.0,US,0.062414163303876835,0.09159172471878985,0.06023856031193131,2419.056005859375,2677.70849609375,-258.6524902343749,0.07008291454649064,-0.06421919973590395,42.107228709612805,-191.28426864037237
2020-03-27,2541.469970703125,2615.909912109375,2520.02001953125,2555.8701171875,6201670000.0,US,-0.033687352562252526,0.10262831544954354,-0.06254105377556052,2466.366015625,2657.07099609375,-190.70498046875036,0.06425858621275007,-0.2015349575575609,44.95157945648269,-176.91348350453882
