Price,Close,High,Low,Open,Volume
Ticker,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
Date,,,,,
2020-01-02,3085.197998046875,3098.10009765625,3066.3359375,3066.3359375,292500
2020-01-03,3083.785888671875,3093.819091796875,3074.51806640625,3089.02197265625,261500
2020-01-06,3083.407958984375,3107.202880859375,3065.30908203125,3070.908935546875,312600
2020-01-07,3104.802001953125,3105.450927734375,3084.3291015625,3085.488037109375,276600
2020-01-08,3066.89306640625,3094.239013671875,3059.131103515625,3094.239013671875,297900
2020-01-09,3094.882080078125,3097.3291015625,3080.131103515625,3082.639892578125,243400
2020-01-10,3092.291015625,3105.22509765625,3081.39599609375,3102.2939453125,210400
2020-01-13,3115.570068359375,3115.570068359375,3075.384033203125,3091.492919921875,210600
2020-01-14,3106.820068359375,3127.1689453125,3105.60498046875,3120.6669921875,230000
2020-01-15,3090.0400390625,3107.93994140625,3082.0400390625,3103.169921875,202300
2020-01-16,3074.0810546875,3096.3720703125,3070.884033203125,3095.73388671875,203400
2020-01-17,3075.49609375,3091.951904296875,3067.2529296875,3081.464111328125,190300
2020-01-20,3095.787109375,3096.31103515625,3070.47998046875,3082.113037109375,210500
2020-01-21,3052.139892578125,3085.7900390625,3051.22998046875,3085.7900390625,234800
2020-01-22,3060.7548828125,3069.2529296875,3006.26806640625,3038.487060546875,223900
2020-01-23,2976.528076171875,3045.041015625,2955.345947265625,3037.951904296875,272800
2020-02-03,2746.60595703125,2766.576904296875,2716.697998046875,2716.697998046875,215900
2020-02-04,2783.2880859375,2786.1640625,2685.26904296875,2685.26904296875,364000
2020-02-05,2818.087890625,2842.742919921875,2778.864013671875,2792.37109375,309800
2020-02-06,2866.510009765625,2876.590087890625,2807.610107421875,2826.889892578125,316400
2020-02-07,2875.9599609375,2875.9599609375,2838.77001953125,2858.929931640625,309500
2020-02-10,2890.488037109375,2891.847900390625,2851.050048828125,2860.4990234375,294900
2020-02-11,2901.669921875,2913.820068359375,2882.239990234375,2894.5400390625,269200
2020-02-12,2926.89892578125,2926.89892578125,2892.424072265625,2895.555908203125,248700
2020-02-13,2906.073974609375,2935.406005859375,2901.242919921875,2927.14404296875,274800
2020-02-14,2917.008056640625,2926.943115234375,2899.573974609375,2899.865966796875,250700
2020-02-17,2983.6220703125,2983.636962890625,2924.990966796875,2924.990966796875,313200
2020-02-18,2984.971923828125,2990.60009765625,2960.77490234375,2981.409912109375,311700
2020-02-19,2975.402099609375,2998.27197265625,2971.822021484375,2979.52197265625,315100
2020-02-20,3030.154052734375,3031.37109375,2968.445068359375,2981.8798828125,345700
2020-02-21,3039.6689453125,3058.89794921875,3020.14111328125,3022.24609375,364600
2020-02-24,3031.23291015625,3042.181884765625,3007.35595703125,3027.89306640625,370400
2020-02-25,3013.050048828125,3016.946044921875,2943.717041015625,2982.070068359375,441600
2020-02-26,2987.928955078125,3028.780029296875,2974.93994140625,2978.419921875,469000
2020-02-27,2991.330078125,3009.4599609375,2980.47998046875,2992.489990234375,350500
2020-02-28,2880.303955078125,2948.1259765625,2878.5439453125,2924.64111328125,401200
2020-03-02,2970.930908203125,2982.507080078125,2899.31005859375,2899.31005859375,367300
2020-03-03,2992.89697265625,3026.842041015625,2976.623046875,3006.888916015625,410100
2020-03-04,3011.666015625,3012.00390625,2974.35791015625,2981.805908203125,353300
2020-03-05,3071.677001953125,3074.257080078125,3022.926025390625,3036.155029296875,445400
2020-03-06,3034.510986328125,3052.444091796875,3029.462890625,3039.93994140625,362100
2020-03-09,2943.291015625,2989.205078125,2940.714111328125,2987.180908203125,414600
2020-03-10,2996.761962890625,3000.2958984375,2904.799072265625,2918.93505859375,393300
2020-03-11,2968.51708984375,3010.029052734375,2968.51708984375,3001.761962890625,352500
2020-03-12,2923.486083984375,2944.465087890625,2906.283935546875,2936.01611328125,307800
2020-03-13,2887.427001953125,2910.881103515625,2799.98388671875,2804.23193359375,366500
2020-03-16,2789.25390625,2898.034912109375,2784.662109375,2897.301025390625,351900
2020-03-17,2779.64111328125,2826.906982421875,2715.220947265625,2796.283935546875,306100
2020-03-18,2728.756103515625,2815.8740234375,2728.756103515625,2792.322021484375,291200
2020-03-19,2702.1298828125,2736.820068359375,2646.804931640625,2719.406005859375,302300
2020-03-20,2745.617919921875,2751.89599609375,2702.492919921875,2727.01904296875,252000
2020-03-23,2660.169921875,2703.330078125,2656.5,2677.590087890625,249800
2020-03-24,2722.43798828125,2723.406982421875,2667.133056640625,2703.01904296875,257000
2020-03-25,2781.591064453125,2788.635009765625,2757.802001953125,2775.302978515625,273100
2020-03-26,2764.910888671875,2788.50390625,2753.427978515625,2761.89599609375,234100
2020-03-27,2772.202880859375,2805.548095703125,2771.756103515625,2792.98388671875,240800
2020-03-30,2747.214111328125,2759.09912109375,2723.053955078125,2739.718994140625,239700
2020-03-31,2750.2958984375,2771.16796875,2743.114990234375,2767.306884765625,218600
2020-04-01,2734.52197265625,2773.364013671875,2731.0791015625,2743.541015625,217300
2020-04-02,2780.637939453125,2780.637939453125,2719.904052734375,2720.22802734375,217900
2020-04-03,2763.987060546875,2780.5869140625,2754.072998046875,2773.575927734375,200800
2020-04-07,2820.762939453125,2823.277099609375,2801.839111328125,2806.968017578125,270200
2020-04-08,2815.368896484375,2823.214111328125,2800.2958984375,2805.9169921875,243500
2020-04-09,2825.904052734375,2832.39501953125,2820.43310546875,2825.839111328125,238200
2020-04-10,2796.631103515625,2833.014892578125,2789.97607421875,2827.18701171875,233500
2020-04-13,2783.048095703125,2792.89111328125,2774.0810546875,2784.597900390625,177100
2020-04-14,2827.282958984375,2827.298095703125,2789.427978515625,2794.801025390625,202700
2020-04-15,2811.174072265625,2829.75,2808.7041015625,2826.662109375,205600
2020-04-16,2819.93505859375,2823.337890625,2796.839111328125,2798.429931640625,203000
2020-04-17,2838.4951171875,2854.9599609375,2830.02197265625,2835.55810546875,245700
2020-04-20,2852.552978515625,2852.989990234375,2833.261962890625,2840.408935546875,211800
2020-04-21,2827.012939453125,2842.237060546875,2808.02099609375,2842.237060546875,233200
2020-04-22,2843.97998046875,2843.97998046875,2808.48193359375,2814.06591796875,217300
2020-04-23,2838.4990234375,2853.635986328125,2835.89599609375,2850.510009765625,248800
2020-04-24,2808.529052734375,2834.93896484375,2802.4990234375,2834.93896484375,235200
2020-04-27,2815.4951171875,2832.666015625,2802.9580078125,2812.241943359375,210100
2020-04-28,2810.02392578125,2821.7451171875,2758.24609375,2819.990966796875,253900
2020-04-29,2822.44189453125,2831.763916015625,2800.738037109375,2801.383056640625,202100
2020-04-30,2860.08203125,2865.590087890625,2832.384033203125,2832.384033203125,242500
2020-05-06,2878.139892578125,2879.262939453125,2830.654052734375,2831.633056640625,249800
2020-05-07,2871.52294921875,2882.02197265625,2864.5810546875,2876.472900390625,226700
2020-05-08,2895.340087890625,2903.800048828125,2879.199951171875,2882.7099609375,226800
